"Fecha","Hora","DAM","RTM"
2024-07-08,17,19.96,17.37
2024-07-08,18,25.24,15.19
2024-07-08,19,25.15,14.1
2024-07-08,20,16.57,22.21
2024-07-08,21,19.84,37.81
2024-07-08,22,21.32,37.96
2024-07-08,23,22.76,26.45
2024-07-08,24,20.78,21.29
2024-08-01,14,23.04,23.39
2024-08-01,15,24.43,25.09
2024-08-01,16,22.38,26.57
2024-08-01,17,19.59,24.16
2024-08-01,18,16.72,23.18
2024-08-01,19,15.56,22.8
2024-08-01,20,17.2,32.03
2024-08-01,21,17.02,33.93
2024-08-01,22,13.7,24.24
2024-08-01,23,22.66,20.84
2024-08-01,24,18.45,18.29
2024-08-02,1,18.51,15.82
2024-08-02,2,17.16,12.6
2024-08-02,3,15.98,12
2024-08-02,4,16.01,12.28
2024-08-02,5,16.57,13.27
2024-08-02,6,19.05,20.11
2024-08-02,7,19.35,23.62
2024-08-02,8,18.24,22.37
2024-08-02,9,15.53,15.52
2024-08-02,10,15.26,17.64
2024-08-02,11,19.63,33.62
2024-08-02,12,28.5,45.97
2024-08-02,13,38.82,44.81
2024-08-02,14,50.22,55.97
2024-08-02,15,63.75,31.72
2024-08-02,16,56.35,23.78
2024-08-02,17,49.29,31.2
2024-08-02,18,49.61,32.53
2024-08-02,19,113.2,40.3
2024-08-02,20,473.64,95.67
2024-08-02,21,368.48,51.13
2024-08-02,22,78.24,32.35
2024-08-02,23,31,25.3
2024-08-02,24,25.86,22.48
2024-08-03,1,23.9,20.21
2024-08-03,2,21.58,19.42
2024-08-03,3,21.33,18.13
2024-08-03,4,20.35,17.68
2024-08-03,5,20.81,17.88
2024-08-03,6,20.83,18.2
2024-08-03,7,19.56,20.04
2024-08-03,8,18.04,20.35
2024-08-03,9,14.27,14.63
2024-08-03,10,14.27,15.29
2024-08-03,11,19.37,22.64
2024-08-03,12,25.73,35.97
2024-08-03,13,31.47,37.94
2024-08-03,14,38.58,40.94
2024-08-03,15,45,46.65
2024-08-03,16,49.69,28.84
2024-08-03,17,48.48,29.36
2024-08-03,18,42,23.87
2024-08-03,19,52.64,38.48
2024-08-03,20,130.64,52.5
2024-08-03,21,93.59,40.61
2024-08-03,22,36.02,28.97
2024-08-03,23,25.29,31.48
2024-08-03,24,23.68,31.42
2024-08-04,1,23.61,34.33
2024-08-04,2,21.51,26.7
2024-08-04,3,20.98,24.44
2024-08-04,4,20.22,23.09
2024-08-04,5,19.74,21.36
2024-08-04,6,19.94,20.44
2024-08-04,7,18.65,19.49
2024-08-04,8,16.52,19.53
2024-08-04,9,12.53,16.68
